task,n_rows,n_x,n_y,sym_ratio,missing_density,eff_rank_x,cca_1,linear_r2,y_corr_mean,fdc,smoothness,d2h_var,d2h_skew,d2h_tail_gap,nb_auc_med,nb_auc_iqr,landmark_10_med,landmark_10_iqr,labels_used_total
SS-L,1023,11,2,0.0,0.0,9.651547286679357,0.9803509646593161,0.6993919622626555,-0.41955978847223946,0.6399188443294567,0.11761102597447538,0.030371324825668976,-1.3443307921553256,2.4674668822684414,0.9276578546976036,0.07089197413465198,100.0,48.5,46
SS-M,864,17,3,1.0,0.0,11.051043061509558,0.9876948095477596,0.9194596318533005,0.9900433383416206,0.4976383154266953,0.33065329222865364,0.0868005323331614,0.9811258515765139,0.26416425785456205,0.8772109166983644,0.046025104602510414,100.0,0.0,46
SS-N,53662,17,2,0.0,0.0,15.191756191216351,0.8132964954913117,0.21118307302629574,0.04511257446416974,0.12931108034778735,0.08955108662569967,0.039417859426904234,-0.0135495059471666,0.9481432906807938,0.673402434385698,0.08862685431723083,76.5,26.25,46
SS-O,972,11,2,0.7272727272727273,0.0,8.072809955118998,0.795465584414254,0.3756914941819539,0.0060127343959911145,0.31139684012032776,0.12590209449325152,0.04345799436034043,-0.05551584073515691,1.1461400749252988,0.7713959680486877,0.1818895017116775,100.0,20.0,46
SS-P,1023,11,2,1.0,0.0,9.651547286679378,0.9803509646593164,0.7137868518305603,-0.41955978847223946,0.5735896487855007,0.14564433941493515,0.030371324825668976,-1.3443307921553256,2.4674668822684414,0.9198364397109167,0.056592335488779066,100.0,30.5,46
SS-Q,2736,13,3,0.6923076923076923,0.0,8.825104178545024,0.9904756288965159,0.9366032985636139,0.2030258898687071,0.5132569928487476,0.38364886406569887,0.050669211264576054,-0.5397994286320236,0.9580775824183998,0.9343619246861925,0.09604412324077594,100.0,0.0,46
SS-R,3008,14,2,0.7857142857142857,0.0,9.752608467512303,0.9457901393436898,0.6707066012480561,-0.6646954178676104,0.5340220635817738,0.27702541302097744,0.023757813634914974,-0.3844087591668487,0.882017267640446,0.8926873335869152,0.07947413465195896,70.5,16.5,46
SS-S,3840,6,2,0.0,0.0,6.0,0.832986587114558,0.6700324661890867,-0.27090552423198594,0.27909231636926546,0.3350441691057594,0.031131931174336637,0.36673258080620014,0.3593580523948396,0.640642829973374,0.17383035374667177,100.0,0.0,46
SS-T,5184,12,2,0.75,0.0,10.445931121436661,0.7799509959101605,0.6791278552084521,-0.3277374064371175,0.2306238367750134,0.15100367200101514,0.030500059025122508,0.1637330388892988,0.5674371737188633,0.8405287181437808,0.11043885507797635,100.0,0.0,46
SS-U,4608,21,2,1.0,0.0,13.768978298972895,0.9976478200908485,0.8778278200717595,-0.8077090654245086,0.46255610510928674,0.23212946331824558,0.013125711094820053,-0.6378694189269717,1.1366286315564567,0.949315329022442,0.05491631799163177,86.5,59.25,46
SS-V,6840,16,2,0.9375,0.0,14.278704785474785,0.9972361139030301,0.977117152429939,0.5743905470300628,0.34102301043063016,0.1945047946653179,0.07047012443600087,-0.11345922138985977,0.8725420488110555,0.8687713959680488,0.16429726131608968,100.0,22.5,46
SS-W,65536,16,2,1.0,0.0,15.999999999999998,0.9948697148079874,0.4982351728629525,-0.13669484328516127,0.4755375977898879,0.07902339024763612,0.03828501316606982,-0.2797717408992529,1.0554868045465067,0.6871671738303538,0.1131490110308101,77.0,15.0,46
SS-X,86058,11,2,1.0,0.0,29.204290037577895,0.9791990877532938,0.951910086514298,0.9801907164078519,0.5245431914060714,0.6194720318824409,0.09042589220782257,0.25018411490581877,0.3932307864133317,0.8877424876378851,0.07194988588817042,100.0,34.0,46
Scrum100k,100000,124,3,1.0,0.0,16.93702328395717,0.9999999999999987,0.7751362556403705,0.28183334328692866,0.5740695056443404,0.05895782725427733,0.013116684762221175,-0.39770791080086587,1.0851149454788904,0.7747242297451502,0.09800542031190562,47.0,23.0,46
Scrum10k,10000,124,3,1.0,0.0,13.728117959344225,1.0,0.8028982990383134,0.2571323783355625,0.5340652253792977,0.1243931017277988,0.014443548635586214,-0.4212433357592815,1.0346088985981894,0.8218191327500951,0.10598136173449979,54.5,39.25,46
Scrum1k,1000,124,3,1.0,0.0,10.029594679311169,1.0,0.793437467420288,0.17741298871744957,0.5431058107948122,0.1221776119875968,0.014093224775930658,-0.42626210568496137,0.9579144893729293,0.8381751616584252,0.07399438950171167,68.5,36.25,46
WA_Fn-UseC_-HR-Employee-Attrition,1470,32,3,0.28125,0.0,33.466658947061376,0.7878619444865422,0.4545645512121852,0.7474436411175853,0.19714407711088214,0.09711555070639322,0.06668457865613052,-0.47462231848385544,1.052640443951377,0.655477367820464,0.18842715861544312,100.0,20.25,46
WA_Fn-UseC_-Telco-Customer-Churn,7043,19,2,0.9473684210526315,0.0,6973.881149976495,0.9999999999999992,0.9827933935858721,0.6504680404414717,0.48607307387090776,0.4232161093456712,0.07359986594562216,0.11751912793353995,0.729040648301017,0.9321510079878281,0.037205211106884684,100.0,0.0,46
Wine_quality,1599,10,2,0.0,0.0,7.184924251430051,0.8207099471130321,0.2301683219654266,0.4761663239995367,0.2308507608831628,0.05627797407363539,0.02448373518276787,-0.5542702127126636,1.54730235485745,0.5832303157093952,0.09573507036896145,68.5,17.25,46
X264_AllMeasurements,1152,16,1,1.0,0.0,10.781283432989884,0.9778550247185751,0.963573231819652,nan,0.48922550197524395,0.37430289677951334,0.09486280389974164,0.09996103539493033,0.5798968333439876,0.9389501711677444,0.04850941422594135,100.0,0.0,46
accessories,1121,14,2,0.9285714285714286,0.0,1106.0185727205032,1.0,0.3729278620792128,0.6890739767037116,-0.04637647727326915,0.22251421292325493,0.003059039248804879,1.3057155221399035,0.3752016136794145,0.5504231647014074,0.180261030810194,3.0,24.0,46
all_players,17737,55,2,0.05454545454545454,0.0,17676.595914604834,1.0,0.8543968726790891,0.13004474023456164,0.707607268192885,0.2933000933000933,0.045689397274872055,-0.1596014319028177,1.0427020431774845,0.8269779383796121,0.12977843286420698,100.0,27.75,46
auto93,398,4,3,0.25,0.0,3.383184620161826,0.9502107186271795,0.7884983886900732,-0.26696682744790623,0.7766595245233296,0.5183296089792746,0.054894994848800054,0.06492085156841644,0.9640816130415619,0.8531776126194448,0.06546716214166537,100.0,0.0,46
billing10k,10000,88,3,1.0,0.0,13.672369483024788,0.9999999999999989,0.7562898876803322,0.5546880487720691,0.5933232186874378,0.10665675229609466,0.011000946653554113,-0.1960980572136358,0.9401657520919798,0.8221281856219095,0.12977843286420698,49.5,36.75,46
coc1000,1000,20,5,0.0,0.0,19.8188275791103,0.8469161823477036,0.36284629429077053,0.053480425440713145,0.4166346585386341,0.04542608769864422,0.011243475322733556,-0.279510143227255,0.9460244753323155,0.6432103461392165,0.1843619246861924,45.5,23.25,46
